year,month,maxTemp,minTemp,meanTemp,precipitation,CDDBase65
1872,Jan,,,,2,
1872,Feb,,,,2,
1872,Mar,48,-8,18,4,0
1872,Apr,85,28,38,1,1
1872,May,85,40,51,3,16
1872,Jun,94,47,61,5,175
1872,Jul,98,55,65,4,338
1872,Aug,95,50,64,11,265
1872,Sep,95,43,56,6,75
1872,Oct,75,35,44,5,2
1872,Nov,62,15,34,4,0
1872,Dec,47,-8,16,3,0
1873,Jan,52,-5,17,6,0
1873,Feb,52,-4,19,3,0
1873,Mar,60,12,26,4,0
1873,Apr,66,34,38,4,0
1873,May,89,34,47,5,41
1873,Jun,93,47,57,1,130
1873,Jul,96,55,63,4,267
1873,Aug,96,50,61,6,171
1873,Sep,90,42,53,3,61
1873,Oct,73,32,44,5,0
1873,Nov,57,11,26,8,0
1873,Dec,62,6,25,6,0
1874,Jan,60,0,23,4,0
1874,Feb,54,0,19,3,0
1874,Mar,63,6,26,2,0
1874,Apr,67,11,31,8,0
1874,May,86,32,46,4,19
1874,Jun,98,49,57,4,117
1874,Jul,94,54,63,3,259
1874,Aug,91,51,59,7,127
1874,Sep,90,46,57,2,64
1874,Oct,71,36,44,1,0
1874,Nov,64,13,33,3,0
1874,Dec,59,-2,22,2,0
1875,Jan,36,-2,12,4,0
1875,Feb,60,-5,13,4,0
1875,Mar,56,2,23,5,0
1875,Apr,69,21,34,5,0
1875,May,84,37,48,4,44
1875,Jun,94,46,56,7,130
1875,Jul,93,54,62,4,227
1875,Aug,87,54,63,4,207
1875,Sep,87,35,51,3,43
1875,Oct,74,30,42,5,0
1875,Nov,60,-2,26,5,0
1875,Dec,58,-11,22,1,0
1876,Jan,70,5,22,2,0
1876,Feb,56,-6,19,5,0
1876,Mar,68,5,25,7,0
1876,Apr,76,24,35,4,0
1876,May,86,34,46,3,22
1876,Jun,90,44,60,2,177
1876,Jul,96,52,65,6,299
1876,Aug,96,50,62,1,187
1876,Sep,91,44,53,4,22
1876,Oct,70,26,39,2,0
1876,Nov,75,14,35,11,0
1876,Dec,48,-4,13,4,0
1877,Jan,50,2,16,3,0
1877,Feb,56,13,25,0,0
1877,Mar,57,8,27,10,0
1877,Apr,73,29,37,4,0
1877,May,86,34,46,3,34
1877,Jun,92,47,58,3,105
1877,Jul,91,57,64,2,202
1877,Aug,92,58,64,4,229
1877,Sep,88,44,56,1,87
1877,Oct,82,31,43,9,4
1877,Nov,66,24,37,10,0
1877,Dec,59,14,27,1,0
1878,Jan,54,-6,18,8,0
1878,Feb,56,4,22,4,0
1878,Mar,71,10,31,6,0
1878,Apr,77,34,42,6,0
1878,May,85,38,48,1,10
1878,Jun,92,45,56,2,82
1878,Jul,98,54,64,5,284
1878,Aug,87,53,61,8,158
1878,Sep,91,40,56,3,86
1878,Oct,80,33,47,7,15
1878,Nov,61,22,33,9,0
1878,Dec,59,10,23,7,0
1879,Jan,56,0,14,3,0
1879,Feb,56,4,15,4,0
1879,Mar,61,8,26,4,0
1879,Apr,70,19,34,7,0
1879,May,93,38,50,1,56
1879,Jun,96,45,55,6,108
1879,Jul,94,50,62,3,203
1879,Aug,95,52,61,7,181
1879,Sep,89,34,52,2,40
1879,Oct,88,25,48,1,33
1879,Nov,69,9,30,3,0
1879,Dec,63,0,24,4,0
1880,Jan,59,8,26,4,0
1880,Feb,64,-5,21,4,0
1880,Mar,72,12,25,3,0
1880,Apr,73,22,37,3,0
1880,May,97,33,53,2,116
1880,Jun,93,48,58,1,177
1880,Jul,101,52,63,7,218
1880,Aug,96,47,60,3,213
1880,Sep,93,43,56,2,91
1880,Oct,80,27,42,3,0
1880,Nov,64,11,30,2,0
1880,Dec,50,-4,19,3,0
1881,Jan,48,-2,13,7,0
1881,Feb,55,-5,19,5,0
1881,Mar,53,24,31,10,0
1881,Apr,80,20,34,2,0
1881,May,91,36,47,4,33
1881,Jun,86,44,52,8,54
1881,Jul,89,54,61,3,179
1881,Aug,97,53,62,1,225
1881,Sep,102,49,59,2,132
1881,Oct,90,28,44,3,26
1881,Nov,71,15,34,4,0
1881,Dec,66,10,30,4,0
1882,Jan,52,-13,17,4,0
1882,Feb,60,4,21,5,0
1882,Mar,61,15,27,3,0
1882,Apr,68,19,33,2,0
1882,May,81,31,41,6,5
1882,Jun,94,48,56,1,121
1882,Jul,98,52,63,4,278
1882,Aug,92,51,61,1,219
1882,Sep,88,46,57,11,79
1882,Oct,83,39,48,2,12
1882,Nov,72,19,32,1,0
1882,Dec,54,6,23,3,0
1883,Jan,50,0,15,4,0
1883,Feb,60,11,19,3,0
1883,Mar,58,8,21,2,0
1883,Apr,74,23,36,3,0
1883,May,88,37,47,5,17
1883,Jun,91,51,60,2,182
1883,Jul,96,51,61,3,222
1883,Aug,92,48,59,0,141
1883,Sep,79,41,51,2,13
1883,Oct,80,29,39,6,5
1883,Nov,69,14,34,2,0
1883,Dec,58,-12,21,4,0
1884,Jan,52,0,16,6,0
1884,Feb,59,3,23,6,0
1884,Mar,60,4,26,5,0
1884,Apr,69,27,37,5,0
1884,May,88,35,46,3,10
1884,Jun,93,42,56,4,162
1884,Jul,90,54,60,4,143
1884,Aug,94,51,62,5,167
1884,Sep,94,40,57,0,145
1884,Oct,83,31,44,3,11
1884,Nov,65,22,33,3,0
1884,Dec,62,-10,26,4,0
1885,Jan,60,-2,18,5,0
1885,Feb,52,1,13,3,0
1885,Mar,59,3,18,1,0
1885,Apr,82,27,38,3,7
1885,May,84,35,46,4,13
1885,Jun,92,45,56,4,124
1885,Jul,93,51,63,1,227
1885,Aug,89,47,60,8,139
1885,Sep,84,39,51,2,25
1885,Oct,73,33,44,6,0
1885,Nov,69,23,37,6,0
1885,Dec,63,12,25,2,0
1886,Jan,54,-10,19,7,0
1886,Feb,57,-7,18,7,0
1886,Mar,64,-1,26,3,0
1886,Apr,84,27,40,2,2
1886,May,85,38,48,3,15
1886,Jun,82,50,56,1,38
1886,Jul,95,54,63,2,203
1886,Aug,90,49,60,4,136
1886,Sep,85,41,55,3,60
1886,Oct,80,27,44,3,6
1886,Nov,66,24,36,4,0
1886,Dec,55,6,21,4,0
1887,Jan,56,-5,16,5,0
